Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;Lektion;
teuer, wertvoll;guì;Adjektiv;Zhèlǐ hěn guì./Zhèshu hěn guì;Es ist teuer hier./Das Buch ist sehr Teuer;贵;这里很贵。;L02-1-12;L02
was, was für (ein);shénme;Fragewort;nǐ jiào shénme? /Nǐ shénme shíhòu lái de?;Wie heißt du?/Wann bist du gekommen?;什么;你什么时候来的？;L02-1-13;L02
Visitenkarte;míngpiàn;Subst.;Nǐ yǒu míngpiàn ma?;Haben Sie eine Visitenkarte?;名片;你有名片吗？;L02-1-14;L02
vorstellen, empfehlen, sich/jn. Vorstellen;jièshào;Verb;Wǒ lái jièshào yīxià, zhè shì Wáng Lǐ.;Ich möchte Ihnen Wang Li vorstellen.;介绍;我来介绍一下，这是王李。;L02-1-15;L02
Attributpartikel;de;Partikel;Zhè shì wǒ de míngpiàn.;Dies ist meine Visitenkarte.;的;这是我的牌子。;L02-2-01;L02
auch;yě;Adverb;Wǒ yě bù zhīdào.;Ich weiß es auch nicht.;也;我也不知道。;L02-2-02;L02
Danke;xièxiè;Phrase;Xièxiè nǐ de bāngzhù.;Danke für deine Hilfe.;谢谢;谢谢你的帮助。;L02-2-03;L02
das hier, dieser, dieses, das;zhè;Pronomen;Zhè shì shéi de diànhuà?;Wessen Telefon ist das?;这;这是谁的电话？;L02-2-04;L02
"Entschuldigung; Darf ich fragen...";qǐngwèn;Phrase;Qǐngwèn, nǐ jiào shénme míngzi?;Entschuldigung, wie ist Ihr Name?;请问;请问，你叫什么名字？;L02-2-04;L02
Deng Xiaoming;Dèng xiǎomíng;Name;Dèng xiǎomíng shì wǒ de lǎoshī.;Herr Deng ist mein Lehrer.;邓小明;邓小明是我的老师。;L02-2-05;L02
Freund;péngyou;Subst.;Wǒ de péngyou jiào Wáng Lǐ.;Mein Freund heißt Wang Li.;朋友;我的朋友叫王李。;L02-2-06;L02
heißen;xìng;Verb;Nǐ xìng shénme?;Wie ist Ihr Nachname?;姓;你姓什么？;L02-2-07;L02
ihr, euch;nǐmen;Pronomen;Nǐmen shì nǎ guó rén?;Woher kommt ihr?;你们;你们是哪国人？;L02-2-08;L02
Lehrer(in);lǎoshī;Subst.;Lǎoshī, wǒ yǒu yī gè wèntí.;Lehrer, ich habe eine Frage.;老师;老师，我有一个问题。;L02-2-09;L02
Name;míngzì;Subst.;Nǐ de míngzì shì shénme?;Wie ist dein Name?;名字;你的名字是什么？;L02-2-10;L02
sie, er, es;tā;Pronomen;Tā shì wǒ de péngyou.;Sie ist meine Freundin.;她;她是我的朋友。;L02-2-11;L02
Wang Gang;Wánggāng;Name;Wǒmen de mìshū jiào Wánggāng.;Unser Sekretär heißt Wang Gang.;王刚;我们的秘书叫王刚。;L02-2-12;L02
wir;wǒmen;Pronomen;Wǒmen shì péngyou.;Wir sind Freunde.;我们;我们是朋友。;L02-2-13;L02
* Lektion 3;*Lektion 3;* Lektion 3;*Lektion 3;*Lektion 3;*Lektion 3;*Lektion 3;L03-1-00;L03
Österreich;Àodìlì;Subst.;Wǒ xiǎng qù Àodìlì.;Ich möchte nach Österreich gehen.;奥地利;我想去奥地利。;L03-1-01;L03
Peking;Běijīng;Subst.;Wǒ zài Běijīng dāng lǎoshī.;Ich arbeite als Lehrer in Peking.;北京;我在北京当老师。;L03-1-02;L03
Belgien;Bǐlìshí;Eigenname;Wǒ xiǎng qù Bǐlìshí.;Ich möchte nach Belgien gehen.;比利时;我想去比利时。;L03-1-03;L03
Berlin;Bólín;Subst.;Wǒ zài Bólín xuéxí.;Ich studiere in Berlin.;柏林;我在柏林学习。;L03-1-04;L03
aus;cóng;Präposition;Tā cóng Běijīng lái.;Er kommt aus Peking.;从;他从北京来。;L03-1-05;L03
Universität;dàxué;Subst.;Tā zài dàxué xuéxí.;Er studiert an der Universität.;大学;他在大学学习。;L03-1-06;L03
Volkswagen;dàzhòng gōngsī;Subst.;Wǒ zài dàzhòng gōngsī gōngzuò.;Ich arbeite in einem großen Unternehmen.;大众公司;我工作在大众公司。;L03-1-07;L03
Firma VW;Dàzhòng Gōngsī;Subst.;Wǒ zài Dàzhòng Gōngsī gōngzuò.;Ich arbeite bei Volkswagen.;大众公司;我在大众公司工作。;L03-1-08;L03
Deutschland;Déguó;Subst.;Wǒ lái zì Déguó.;Ich komme aus Deutschland.;德国;我来自德国。;L03-1-09;L03
Deutsche(r);Déguórén;Subst.;Wǒ péngyou shì Déguórén.;Mein Freund ist Deutscher.;德国人;我朋友是德国人。;L03-1-10;L03
Frankreich;Fǎguó;Subst.;Wǒ xiǎng qù Fǎguó lǚxíng.;Ich möchte nach Frankreich reisen.;法国;我想去法国旅行。;L03-1-11;L03
Firma;gōngsī;Subst.;Wǒ de gōngsī zài Běijīng.;Mein Unternehmen ist in Peking.;公司;我的公司在北京。;L03-1-12;L03
arbeiten, Arbeit;gōngzuò;Subst.;Wǒ zài gōngsī gōngzuò.;Ich arbeite in einer Firma.;工作;我在公司工作。;L03-1-13;L03
Land;guó;Subst.;Zhōngguó shì yí ge dà guó.;China ist ein großes Land.;国;中国是一个大国。;L03-1-14;L03
Chinesisch;Hànyǔ;Subst.;Wǒ zài xuéxí Hànyǔ.;Ich lerne Chinesisch.;汉语;我在学习汉语。;L03-1-15;L03
und;hé;Konjunktion;Wǒ hé tā shì péngyou.;Ich und er sind Freunde.;和;我和他是朋友。;L03-1-16;L03
können;huì;Modalverb;Wǒ huì shuō Zhōngwén.;Ich kann Chinesisch sprechen.;会;我会说中文。;L03-1-17;L03
kommen;lái;Verb;Wǒ lái zì Měiguó.;Ich komme aus den USA.;来;我来自美国。;L03-1-18;L03
London;Lúndūn;Subst.;Wǒ xiǎng qù Lúndūn.;Ich möchte nach London gehen.;伦敦;我想去伦敦。;L03-1-19;L03
Luxemburg;Lúsēnbǎo;Eigenname;Wǒ xiǎng qù Lúsēnbǎo lǚxíng.;Ich möchte nach Luxemburg reisen.;卢森堡;我想去卢森堡旅行。;L03-1-20;L03
USA;Měiguó;Subst.;Tā cóng Měiguó lái.;Er kommt aus den USA.;美国;他从美国来。;L03-1-21;L03
das dort, jene(r,s);nà;Pronomen;Nà shì shénme?;Was ist das?;那;那是什么？;L03-1-22;L03
welche(r,s)?;nǎ;Pronomen;Nǐ shì nǎ guó rén?;Aus welchem Land kommst du?;哪;你是哪国人？;L03-1-23;L03
Nicht der Rede wert!;nǎlǐ;Pronomen;nǎlǐ, nǎlǐ.;Nicht der Rede wert!;哪里;哪里, 哪里。;L03-1-24;L03
dort;nàr;Adverb;Tā zài nàr.;Sie ist dort.;那儿;她在那里。;L03-1-25;L03
wo / wohin;nǎr ( nǎlǐ );Adverb;Nǐ xiǎng qù nǎr?;Wohin möchtest du gehen?;哪儿;你想去哪儿？;L03-1-26;L03
Mensch;rén;Subst.;Tā shì yí ge hǎo rén.;Er ist eine nette Person.;人;他是一个好人。;L03-1-27;L03
Japan;Rìběn;Subst.;Wǒ xiǎng xuéxí Rìběn huà(=Rìyǔ).;Ich möchte Japanisch lernen.;日本;我想学习日本话。;L03-1-28;L03
Japanisch;Rìyǔ;Subst.;Tā xuéxí Rìyǔ.;Er lernt Japanisch.;日语;他学习日语。;L03-1-29;L03
Schweiz;Ruìshì;Subst.;Ruìshì de jǐngsè hěn měi.;Die Landschaft in der Schweiz ist sehr schön.;瑞士;瑞士的景色很美。;L03-1-30;L03
Shanghai;Shànghǎi;Subst.;Wǒ xiǎng qù Shànghǎi lǚxíng.;Ich möchte nach Shanghai reisen.;上海;我想去上海旅行。;L03-1-31;L03
wer?;shéi;Pronomen;Nǐ shì shéi?;Wer bist du?;谁;你是谁？;L03-1-32;L03
sprechen;shuō;Verb;Tā bù huì shuō Zhōngwén.;Er kann kein Chinesisch sprechen.;说;他不会说中文。;L03-1-33;L03
Mitschüler(in), Kommilitone / Kommilitonin;tóngxué;Subst.;Tā shì wǒ de tóngxué.;Er  ist mein Klassenkamerad.;同学;他是我的同学。;L03-1-34;L03
Spanien;Xībānyá;Subst.;Wǒ xiǎng qù Xībānyá.;Ich möchte nach Spanien gehen.;西班牙;我想去西班牙。;L03-1-35;L03
lernen, studieren, Studium;xuéxí/xué;Verb;Wǒ xiǎng xuéxí Zhōngwén.;Ich möchte Chinesisch lernen.;学习/学;我想学习中文。;L03-1-36;L03
Italien;Yìdàlì;Subst.;Yìdàlì de fan hěn hào chī.;Italienisches Essen ist sehr lecker.;意大利;意大利的食物很好吃。;L03-1-37;L03
ein bisschen;yīdiǎnr;Adjektiv;Wǒ yǒu yīdiǎnr qián.;Ich habe ein bisschen Geld.;一点儿;我有一点儿钱。;L03-1-38;L03
England;Yīngguó;Subst.;Tā zhù zài Yīngguó.;Sie lebt in England.;英国;她住在英国。;L03-1-39;L03
"sich befinden; in, bei, an, auf";zài;Präposition;Wǒ zài xuéxiào.;Ich bin in der Schule.;在;我在学校。;L03-1-40;L03
hier;zhèr;Adverb;Zhèr hěn piàoliang.;Hier ist es sehr schön.;这儿;这儿很漂亮。;L03-1-41;L03
China;Zhōngguó;Subst.;Wǒ zài Zhōngguó.;Ich bin in China.;中国;我在中国。;L03-1-42;L03
* Lektion 4;*Lektion 4;* Lektion 4;*Lektion 4;*Lektion 4;*Lektion 4;*Lektion 4;L04-1-00;L04
Partikel für Vorschlag, Zustimmung;ba;Modalpartikel;Wǒmen zǒu ba.;Lass uns gehen.;吧;我们走吧。;L04-1-01;L04
acht;bā;Zahlwort;Míngtiān wǒ bā diǎn yǒu yuē.;Morgen habe ich um acht Uhr eine Verabredung.;八;明天我八点有约。;L04-1-02;L04
halb;bàn;Adverb;Xiànzài liù diǎn bàn.;Es ist jetzt halb sieben.;半;现在六点半。;L04-1-03;L04
Mal;biàn;Subst.;Zài jiàn yī biàn.;Es noch einmal sehen.;遍;再见一遍。;L04-1-04;L04
Keine Ursache!;bù kèqì;Phrase;Nǐ bù yòng xièxie, bù kèqì.;Du brauchst dich nicht zu bedanken.;不客气;你不用谢谢, 不客气。;L04-1-05;L04
aber;dànshì;Konjunktion;Wǒ xiǎng qù, dànshì wǒ méiyǒu shíjiān.;Ich möchte gehen, aber ich habe keine Zeit.;但是;我想去，但是我没有时间。;L04-1-06;L04
warten;děng;Verb;Wǒ zài děng chē.;Ich warte auf den Bus.;等;我在等车。;L04-1-07;L04
Uhr / Uhrzeit;diǎn/diǎnzhōng;Subst.;Xiànzài shì bā diǎnzhōng.;Jetzt ist es acht Uhr.;点/点钟;现在是八点钟。;L04-1-08;L04
Film;diànyǐng;Subst.;Wǒmen kàn diànyǐng.;Wir schauen einen Film.;电影;我们看电影。;L04-1-09;L04
Entschuldigung;duìbuqǐ;Phrase;Duìbuqǐ, wǒ chídào le.;Entschuldigung, ich bin spät dran.;对不起;对不起，我迟到了。;L04-1-10;L04
zwei;èr / liǎng;Zahlwort;liǎng ge rén.;Zwei Personen.;二;二人。;L04-1-11;L04
Minute;fēn/fēnzhōng;Subst.;Yī fēnzhōng yǒu liùshí miǎo.;Eine Minute hat sechzig Sekunden.;分/分钟;一分钟有六十秒。;L04-1-12;L04
"mit (jm.); folgen";gēn;Präposition;Wǒ gēn tā qù kàn diànyǐng.;Ich gehe mit ihr Film schauen.;跟;我跟她去看电影。;L04-1-13;L04
noch;hái;Adverb;Wǒ hái yào yī bēi shuǐ.;Ich möchte noch ein Glas Wasser.;还;我还要一杯水。;L04-1-14;L04
"Tag; Nummer, Größe";hào;Subst.;Jīntiān shì qī yuè shíhào.;Heute ist der 10. Juli.;号;今天是七月十号。;L04-1-15;L04
wie viel?;jǐ;Fragewort;Nǐ yǒu jǐ gè píngguǒ?;Wie viele Äpfel hast du?;几;你有几个苹果？;L04-1-16;L04
heute;jīntiān;Adverb;Jīntiān tiānqì hěn hǎo.;Heute ist das Wetter sehr gut.;今天;今天天气很好。;L04-1-17;L04
neun;jiǔ;Zahlwort;Jiǔ zhī gǒu.;Neun stück Hunde.;九;九只狗。;L04-1-18;L04
Café;kāfēiguǎn;Subst.;Wǒ zài kāfēiguǎn hē kāfēi.;Ich trinke Kaffee im Café.;咖啡馆;我在咖啡馆喝咖啡。;L04-1-19;L04
"sehen, anschauen; lesen; besuchen";kàn;Verb;Kàn shū.;Ein Buch lesen.;看;看书。;L04-1-20;L04
Viertelstunde;kè/kè zhōng;Subst.;Yī kè zhōng shì shíwǔ fēn.;Ein Viertelstunde sind fünfzehn Minuten.;刻/刻钟;一刻钟是十五分。;L04-1-21;L04
null;líng;Zahlwort;Líng xià .;unten Null Grad.;零;零下。;L04-1-22;L04
sechs;liù;Zahlwort;Liù yuè.;Juni.;六;六月。;L04-1-23;L04
nicht;méi;Adverb;Wǒ méi chīfàn.;Ich habe nicht gegessen.;没;我没吃饭。;L04-1-24;L04
Keine Ursache! Macht nichts!;méiguānxi;Phrase;Méiguānxi, wǒ kěyǐ děng.;Kein Problem, ich kann warten.;没关系;没关系，我可以等。;L04-1-25;L04
"nicht haben; es gibt kein...";méiyǒu;Verb;Tā méiyǒu shū.;Sie hat kein Buch.;没有;她没有书。;L04-1-26;L04
morgen;míngtiān;Adverb;Míngtiān wǒ yào qù Běijīng.;Morgen werde ich nach Peking gehen.;明天;明天我要去北京。;L04-1-27;L04
Jahr;nián;Subst.;Jīnnián shì èr líng èr sì nián.;Dieses Jahr ist 2024.;年;今年是二零二四年。;L04-1-28;L04
Frau;nǚrén;Subst.;Tā shì yī ge míng nǚrén.;Sie ist eine berühmte Frau.;女人;她是一个名女人。;L04-1-29;L04
hübsch, schön;piàoliang;Adjektiv;Tā hěn piàoliang.;Sie ist sehr hübsch.;漂亮;她很漂亮。;L04-1-30;L04
sieben;qī;Zahlwort;Qī zhǒng yào.;Sieben Arten von Medizin.;七;七种药。;L04-1-31;L04
"bitte...; bitten; einladen";qǐng;Verb;Qǐng nǐ zuò zhèlǐ.;Bitte setzen Sie sich hierher.;请;请你坐这里。;L04-1-32;L04
nach ... gehen, zu ... hin;qù;Verb;Wǒ míngtiān qù Běijīng.;Ich gehe morgen nach Peking.;去;我明天去北京。;L04-1-33;L04
Tag;rì;Subst.;Jīntiān shì shíyuè shísì rì.;Heute ist der 14. Oktober.;日;今天是十月十四日。;L04-1-34;L04
Kalender;rìlì;Subst.;Qǐng kàn rìlì.;Bitte schau auf den Kalender.;日历;请看日历。;L04-1-35;L04
drei;sān;Zahlwort;Sān gè rén.;Drei Personen.;三;三个人。;L04-1-36;L04
Vormittag;shàngwǔ;Subst.;Shàngwǔ wǒ zài bàngōngshì.;Vormittags bin ich im Büro.;上午;上午我在办公室。;L04-1-37;L04
zehn;shí;Zahlwort;Shí fēnzhōng.;Zehn Minuten.;十;十分钟。;L04-1-38;L04
"Zeit; Zeitdauer";shíjiān;Subst.;Wǒ yǒu hěnduō shíjiān.;Ich habe viel Zeit.;时间;我有很多时间。;L04-1-39;L04
Sache, Angelegenheit;shìqíng/shì;Subst.;Tā yǒu hěnduō shìqíng yào zuò.;Er hat viele Dinge zu erledigen.;事情/事;他有很多事情要做。;L04-1-40;L04
vier;sì;Zahlwort;Sì nián.;Vier Jahre.;四;四年。;L04-1-41;L04
Abend;wǎnshàng;Subst.;Wǎnshàng wǒmen qù kàn diànyǐng.;Abends gehen wir ins Kino.;晚上;晚上我们去看电影。;L04-1-42;L04
fünf;wǔ;Zahlwort;Wǔ kuài qián.;Fünf Yuan.;五;五块钱。;L04-1-43;L04
wollen, möchten, vermissen, denken;xiǎng;Verb;Wǒ xiǎng chī zhōngcān.;Ich möchte chinesisches Essen essen.;想;我想吃中餐。;L04-1-44;L04
jetzt;xiànzài;Adverb;Xiànzài wǒ zài xuéxiào.;Ich bin jetzt in der Schule.;现在;现在我在学校。;L04-1-45;L04
Nachmittag;xiàwǔ;Subst.;Xiàwǔ sān diǎn bàn.;Drei Uhr dreißig nachmittags.;下午;下午三点半。;L04-1-46;L04
Woche;xīngqī;Subst.;Xīngqīsān wǒmen jiànmiàn.;Wir treffen uns am Mittwoch.;星期;星期三我们见面。;L04-1-47;L04
Dienstag;Xīngqī èr;Subst.;Xīngqī èr wǒ yào qù kàn yīshēng.;Dienstag habe ich einen Arzttermin.;星期二;星期二我有一个医生约会。;L04-1-48;L04
Samstag;Xīngqī liù;Subst.;Xīngqī liù wǒmen qù páshān.;Samstag gehen wir bergsteigen.;星期六;星期六我们去爬山。;L04-1-49;L04
Mittwoch;xīngqī sān ;Subst.;Nǐ xīngqī sān yǒu kòng ma?;Hast du am Mittwoch Zeit?;星期三;你星期三有空吗？;L04-1-50;L04
Montag;Xīngqī yī;Subst.;Míngtiān shì xīngqī yī.;Morgen ist Montag.;星期一;明天是星期一。;L04-1-51;L04
Sonntag;xīngqī tiān / xīngqīrì;Subst.;Míngtiān shì xīngqī tiān.;Morgen ist Sonntag.;星期天 / 星期日;明天是星期天。;L04-1-52;L04
Donnerstag;xīngqīsì;Subst.;Míngtiān shì xīngqī sì.;Morgen ist Donnerstag.;星期四;明天是星期四。;L04-1-53;L04
Freitag;xīngqīwǔ;Subst.;Míngtiān shì xīngqī wǔ.;Morgen ist Freitag.;星期五;明天是星期五。;L04-1-54;L04
"wollen; müssen";yào;Modalverb;Wǒ yào mǎi zhè ge.;Ich möchte das kaufen.;要;我要买这个。;L04-1-55;L04
eins;yī;Zahlwort;Yī bēi shuǐ.;Ein Glas Wasser.;一;一杯水。;L04-1-56;L04
zusammen;yīqǐ;Adverb;Wǒmen yīqǐ qù.;Wir gehen zusammen.;一起;我们一起去。;L04-1-57;L04
haben, es gibt, besitzen;yǒu;Verb;Tā yǒu yī liàng chē.;Er hat ein Auto.;有;他有一辆车。;L04-1-58;L04
Monat;yuè;Subst.;Xià gè yuè wǒ yào qù Zhōngguó.;Nächsten Monat fahre ich nach China.;月;下个月我要去中国。;L04-1-59;L04
sich verabreden, Verabredung;yuēhuì;Subst.;Tāmen zài yuēhuì.;Sie sind bei einem Date.;约会;他们在约会。;L04-1-60;L04
wieder, noch, dann;zài;Adverb;Zài jiàn yī cì.;Es noch einmal sehen.;再;再见一次。;L04-1-61;L04
"eilig, hastig; sich Sorgen machen";zháojí;Adjektiv;Tā hěn zháojí.;Sie ist sehr besorgt.;着急;她很着急。;L04-1-62;L04
wissen;zhīdào;Verb;Wǒ zhīdào nǐ de míngzi.;Ich kenne deinen Namen.;知道;我知道你的名字。;L04-1-63;L04
Mittag;zhōngwǔ;Subst.;Zhōngwǔ wǒmen chī zhōngcān.;Mittags essen wir Mittagessen.;中午;中午我们吃中餐。;L04-1-64;L04
* Lektion 5;*Lektion 5;* Lektion 5;*Lektion 5;*Lektion 5;*Lektion 5;*Lektion 5;L05-1-00;L05
hundert;bǎi;Zahlwort;Zhè běn shū yào yī bǎi yuán.;Dieses Buch kostet hundert Yuan.;百;这本书要一百元。;L05-1-01;L05
Formular;biǎogé;Subst.;Qǐng tiánxie biǎogé.;Bitte füllen Sie das Formular aus.;表格;请填写表格。;L05-1-02;L05
Hotel;bīnguǎn;Subst.;Wǒ zài bīnguǎn zhù le yí yè.;Ich habe eine Nacht im Hotel verbracht.;宾馆;我在宾馆待了一夜。;L05-1-03;L05
Einzel-;dān;Adjektiv;Nǐ yào dān rén fángjiān háishì shuāng rén fángjiān?;Möchten Sie ein Einzelzimmer oder ein Doppelzimmer?;单;你要单人房还是双人房？;L05-1-04;L05
gegenüber, gegenüberliegende Seite;duìmiàn;Adverb;Yínháng zài yóujú de duìmiàn.;Die Bank ist gegenüber der Post.;对面;银行在邮局的对面。;L05-1-05;L05
wie viel?;duōshǎo/ jǐ ;Fragewort;Nǐ yào zhù jǐ tiān?;Wie viele Tage möchten Sie bleiben?;多少;你要住几天？;L05-1-06;L05
Zimmer;fángjiān;Subst.; Qǐngwèn, zhèr yǒu kòng fángjiān ma?;Entschuldigung, gibt es hier ein freies Zimmer?;房间;请问，这儿有空房间吗？;L05-1-07;L05
